Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
América-MG,AME,Osman,Meia,3.40,3.40,1,Chapecoense,x,América-MG, 9.12,0.12,
Ernandes,América-MG,AME,Ernandes,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Claudinei,América-MG,AME,Claudinei,Meia,6.20,6.20,1,Chapecoense,x,América-MG, 8.24,3.24,
João Ricardo,América-MG,AME,João Ricardo,Goleiro,6.40,6.40,1,Chapecoense,x,América-MG, 8.38,3.38,
Raul,América-MG,AME,Raul,Lateral,0.00,0.00,-,Chapecoense,x,América-MG, 5.00,0.00,
Leandro Guerreiro,América-MG,AME,Leandro Guerreiro,Meia,0.80,0.80,1,Chapecoense,x,América-MG, 3.53,0.47,
Tony,América-MG,AME,Tony,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 8.00,0.00,
Adalberto,América-MG,AME,Adalberto,Zagueiro,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Sávio,América-MG,AME,Sávio,Atacante,0.90,0.90,1,Chapecoense,x,América-MG, 4.34,0.66,
Bryan,Cruzeiro,CRU,Bryan,Lateral,0.00,0.00,-,Cruzeiro,x,Figueirense, 8.00,0.00,
Nikão,Atlético-PR,ATL,Nikão,Meia,-2.60,-2.60,1,Atlético-PR,x,Atlético-MG, 9.12,5.88,
Tiago Real,Vitória,VIT,Tiago Real,Meia,-1.70,-1.70,1,Vitória,x,Corinthians, 3.16,2.84,
Fernando Leal,América-MG,AME,Fernando Leal,Goleiro,0.00,0.00,-,Chapecoense,x,América-MG, 3.00,0.00,
Artur,América-MG,AME,Artur,Zagueiro,1.60,1.60,1,Chapecoense,x,América-MG, 2.65,0.65,
Sueliton,América-MG,AME,Sueliton,Zagueiro,6.30,6.30,1,Chapecoense,x,América-MG, 7.57,3.57,
Glauco,América-MG,AME,Glauco,Goleiro,0.00,0.00,-,Chapecoense,x,América-MG, 2.00,0.00,
